Column definitions: ,,,,,,,,,,,,,,,,
Experiment, name of experiment,,,,,,,,,,,,,,,
Q2, Q^2 in (GeV/c)^2,,,,,,,,,,,,,,,
epsilon, virtual photon polarization,,,,,,,,,,,,,,,
Ebeam, electron beam energy in GeV,,,,,,,,,,,,,,,
etheta, electron scattering angle in degrees,,,,,,,,,,,,,,,
sigma_old,, Born cross section (dsigma/dOmega_e) in nb/sr,, with "old" radiative corrections,,,,,,,,,,,,,,,,
dsigma_old,, total uncertainty of Born cross section in nb/sr,, with "old" radiative corrections. Does NOT include normalization uncertainty,,,,,,,,,,,,,,,,
norm_unc, Normalization uncertainty assumed in global fit chi-squared calculation.,,,,,,,,,,,,,,,
sigma_new,, Born cross section (dsigma/dOmega_e) with updated radiative corrections,, in nb/sr. Normalization from global fit NOT applied.,,,,,,,,,,,,,,,,
dsigma_new,, total uncertainty of Born cross section with updated radiative corrections,, in nb/sr. Does NOT include normalization uncertainty.,,,,,,,,,,,,,,,,
sigmaR, reduced cross section as defined in Eq. (2) of main paper. Normalization factor from global fit is NOT applied,,,,,,,,,,,,,,,
dsigmaR, reduced cross section uncertainty. Normalization factor from global fit is NOT applied and normalization uncertainty is NOT included,,,,,,,,,,,,,,,
norm, experiment normalization factor resulting from global fit.,,,,,,,,,,,,,,,
dnorm, uncertainty of experiment normalization factor resulting from global fit.,,,,,,,,,,,,,,,
GMp, magnetic form factor GMp/(mu_p GD) from sigmaR assuming RS from global fit. Normalization from global fit IS applied.,,,,,,,,,,,,,,,
dGMp,, uncertainty of magnetic form factor GMp/(mu_p GD) from sigmaR assuming RS from global fit,, including uncertainty contributions from cross section and from global fit normalization factor,,,,,,,,,,,,,,,,
chi2contr, contribution of this data point to global fit chi-squared,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Experiment,      Q2, epsilon,   Ebeam, etheta,  sigma_old, dsigma_old, norm_unc,  sigma_new, dsigma_new,     sigmaR,  dsigmaR,    norm,   dnorm,     GMp,    dGMp, chi2contr
 Andivahis_1,1.75,0.25,1.511,90.066,0.144,0.00175,0.0177,0.14497,0.00176,3.131E-02,3.8E-04,1.00627,0.00374,1.05533,0.00681,0.1359
 Andivahis_1,1.75,0.7037,2.407,41.11,1.029,0.0109,0.0177,1.0306,0.0109,3.434E-02,3.6E-04,1.00627,0.00374,1.05884,0.0067,1.0926
 Andivahis_1,1.7499,0.9497,5.507,15.145,11.55,0.134,0.0177,11.549,0.134,3.549E-02,4.1E-04,1.00627,0.00374,1.05323,0.00753,0.0019
 Andivahis_1,2.5,0.2266,1.968,89.948,0.03389,0.000483,0.0177,0.034185,0.000487,1.527E-02,2.2E-04,1.00627,0.00374,1.06098,0.00787,0.1396
 Andivahis_1,2.5,0.4786,2.407,58.882,0.09857,0.00132,0.0177,0.098993,0.00132,1.561E-02,2.1E-04,1.00627,0.00374,1.05546,0.00756,0.1455
 Andivahis_1,2.5,0.6303,2.837,44.993,0.199,0.00264,0.0177,0.1995,0.00265,1.580E-02,2.1E-04,1.00627,0.00374,1.05217,0.00764,0.7397
 Andivahis_1,2.5,0.7498,3.4,34.694,0.3951,0.00427,0.0177,0.39566,0.00427,1.614E-02,1.7E-04,1.00627,0.00374,1.05541,0.00667,0.2328
 Andivahis_1,2.4937,0.8204,3.95,28.409,0.6616,0.00764,0.0177,0.66215,0.00764,1.624E-02,1.9E-04,1.00627,0.00374,1.05131,0.00709,1.2838
 Andivahis_1,2.5001,0.9128,5.5069,18.981,1.779,2.12E-02,0.0177,1.7793,2.12E-02,1.628E-02,1.9E-04,1.00627,0.00374,1.05002,0.00739,1.7025
 Andivahis_1,3.25,0.4264,2.837,61.205,0.02848,4.44E-04,0.0177,0.028638,4.47E-04,8.485E-03,1.3E-04,1.00627,0.00374,1.05034,0.00856,0.078
 Andivahis_1,3.2501,0.6086,3.4,44.482,0.06784,8.88E-04,0.0177,0.068047,8.91E-04,8.672E-03,1.1E-04,1.00627,0.00374,1.05319,0.00748,0.0069
 Andivahis_1,3.25,0.7188,3.956,35.382,0.1256,1.64E-03,0.0177,0.12583,1.64E-03,8.775E-03,1.1E-04,1.00627,0.00374,1.05416,0.00757,0.0501
 Andivahis_1,3.25,0.8647,5.507,22.804,3.90E-01,4.34E-03,0.0177,3.90E-01,4.34E-03,8.798E-03,9.8E-05,1.00627,0.00374,1.04878,0.00684,0.4331
 Andivahis_1,4,0.4368,3.4,57.572,0.01297,0.000224,0.0177,0.013045,0.000226,5.092E-03,8.8E-05,1.00627,0.00374,1.04206,0.00935,0.0082
 Andivahis_1,4.0001,0.5927,3.956,43.707,0.0277,0.000441,0.0177,0.027796,0.000442,5.134E-03,8.2E-05,1.00627,0.00374,1.04074,0.00875,0.0036
 Andivahis_1,4.0001,0.6944,4.507,35.592,0.04929,0.000785,0.0177,0.049401,0.000787,5.243E-03,8.4E-05,1.00627,0.00374,1.048,0.00891,0.652
 Andivahis_1,4,0.8046,5.5069,26.823,0.1023,0.00137,0.0177,0.10241,0.00137,5.138E-03,6.9E-05,1.00627,0.00374,1.03358,0.00769,1.2337
 Andivahis_1,3.9999,0.9455,9.8,13.248,0.618,0.00807,0.0177,0.61798,0.00807,5.303E-03,6.9E-05,1.00627,0.00374,1.04494,0.0078,0.2916
 Andivahis_1,5.0001,0.3895,3.956,59.291,0.004205,9.56E-05,0.0177,0.0042354,9.63E-05,2.925E-03,6.7E-05,1.00627,0.00374,1.0436,0.0121,3.3985
 Andivahis_1,5.0001,0.5383,4.507,45.658,0.008462,0.000149,0.0177,0.0084997,0.00015,2.831E-03,5.0E-05,1.00627,0.00374,1.02264,0.00947,0.0164
 Andivahis_1,5,0.7042,5.507,32.829,0.02128,0.000308,0.0177,0.021325,0.000309,2.854E-03,4.1E-05,1.00627,0.00374,1.02239,0.00815,0.0149
 Andivahis_1,5.0001,0.919,9.8,15.367,0.1576,0.00234,0.0177,0.15761,0.00234,2.902E-03,4.3E-05,1.00627,0.00374,1.02522,0.00866,0.2403
 Andivahis_1,5.9998,0.8863,9.8001,17.515,0.04749,0.000771,0.0177,0.047503,0.000771,1.722E-03,2.8E-05,1.00627,0.00374,1.00079,0.00944,0.0249
 Andivahis_1,7.0001,0.8466,9.8,19.753,0.01707,0.000425,0.0177,0.01708,0.000425,1.153E-03,2.9E-05,1.00627,0.00374,1.00437,0.0137,4.6634
 Andivahis_2,1.75,0.25,1.511,90.066,0.1514,0.00169,0.027,0.15242,0.0017,3.292E-02,3.7E-04,0.96005,0.00655,1.05697,0.00702,0.4591
 Andivahis_2,2.5,0.2266,1.968,89.948,0.03545,0.000404,0.027,0.035758,0.000408,1.598E-02,1.8E-04,0.96005,0.00655,1.05991,0.00711,0.0842
 Andivahis_2,3.25,0.2063,2.407,90.004,0.01095,0.000142,0.027,0.011063,0.000143,8.748E-03,1.1E-04,0.96005,0.00655,1.05229,0.00774,0.0023
 Andivahis_2,4,0.1899,2.837,89.966,0.004092,5.64E-05,0.027,0.00414,5.70E-05,5.233E-03,7.2E-05,0.96005,0.00655,1.04081,0.00803,0.0037
 Andivahis_2,5.0001,0.1713,3.4,89.985,0.001339,1.94E-05,0.027,0.0013579,1.97E-05,2.899E-03,4.2E-05,0.96005,0.00655,1.02071,0.00821,0.011
 Andivahis_2,6.0001,0.1562,3.956,89.981,0.0005164,8.75E-06,0.027,0.00052471,8.89E-06,1.742E-03,3.0E-05,0.96005,0.00655,0.99864,0.00915,0.0105
 Andivahis_2,7.0001,0.1434,4.507,89.992,0.0002248,5.67E-06,0.027,0.00022891,5.78E-06,1.115E-03,2.8E-05,0.96005,0.00655,0.97704,0.0128,0
 Andivahis_2,8.8301,0.1247,5.507,90.017,6.02E-05,2.44E-06,0.027,6.15E-05,2.49E-06,5.408E-04,2.2E-05,0.96005,0.00655,0.92839,0.0191,0.2142
     Christy,0.6203,0.6823,1.148,47.97,17.34,1.64E-01,0.017,17.35,1.64E-01,1.626E-01,1.5E-03,1,0,0.99995,0.00554,2.173
     Christy,0.8175,0.5491,1.148,59.99,4.813,0.0463,0.017,4.8202,0.0464,1.113E-01,1.1E-03,1,0,1.01693,0.00554,0.1795
     Christy,0.8999,0.8104,1.882,33.95,14.64,0.143,0.017,14.642,0.143,1.085E-01,1.1E-03,1,0,1.02768,0.00614,0.6555
     Christy,0.6185,0.9186,2.235,21.97,109.8,1.17,0.017,109.77,1.17,1.833E-01,2.0E-03,1,0,1.00644,0.00642,0.0039
     Christy,1.1121,0.8226,2.2349,31.95,8.938,0.0896,0.017,8.9395,0.0896,7.876E-02,7.9E-04,1,0,1.03696,0.00635,0.3223
     Christy,1.6353,0.6879,2.235,42.97,1.184,0.0123,0.017,1.1854,0.0123,3.920E-02,4.1E-04,1,0,1.05633,0.00627,1.0344
     Christy,2.2471,0.4884,2.235,58.969,0.1522,0.00164,0.017,0.15269,0.00165,1.964E-02,2.1E-04,1,0,1.05126,0.00602,1.3914
     Christy,2.7806,0.2843,2.235,79.97,0.02868,0.000342,0.017,0.028865,0.000344,1.220E-02,1.5E-04,1,0,1.05821,0.00641,0.0356
     Christy,0.4243,0.9739,3.1141,12.47,896.8,9.92,0.017,896.49,9.92,2.778E-01,3.1E-03,1,0,0.98591,0.00629,2.4844
     Christy,0.6635,0.9553,3.114,15.97,189.2,2.15,0.017,189.13,2.15,1.721E-01,2.0E-03,1,0,1.01328,0.00686,0.3968
     Christy,0.9313,0.9308,3.114,19.46,48.02,0.504,0.017,48.007,0.504,1.056E-01,1.1E-03,1,0,1.02163,0.00664,0.4653
     Christy,2.0354,0.7835,3.114,32.97,1.017,0.0102,0.017,1.0176,0.0102,2.547E-02,2.6E-04,1,0,1.0548,0.00621,0.1215
     Christy,2.6203,0.6726,3.114,40.97,0.2125,2.13E-03,0.017,0.21284,2.14E-03,1.447E-02,1.5E-04,1,0,1.05509,0.00588,0.2677
     Christy,3.1682,0.5479,3.114,49.97,0.05568,5.99E-04,0.017,0.055845,6.01E-04,9.201E-03,9.9E-05,1,0,1.05249,0.00599,0.0365
     Christy,3.7257,0.4025,3.114,61.97,0.01487,1.72E-04,0.017,0.014945,1.73E-04,6.108E-03,7.1E-05,1,0,1.0453,0.00621,0.0093
     Christy,4.2325,0.2574,3.114,77.97,0.00426,6.33E-05,0.017,0.0042943,6.38E-05,4.282E-03,6.4E-05,1,0,1.02683,0.00768,1.7944
     Christy,3.7986,0.6577,4.104,38.97,0.04919,5.63E-04,0.017,0.049285,5.64E-04,6.018E-03,6.9E-05,1,0,1.05205,0.00644,1.4828
     Christy,4.4008,0.5527,4.104,45.96,0.01582,0.000326,0.017,0.01587,0.000327,4.101E-03,8.5E-05,1,0,1.04463,0.011,1.007
     Christy,4.7964,0.5526,4.413,44.98,0.01098,2.28E-04,0.017,0.011015,2.29E-04,3.219E-03,6.7E-05,1,0,1.03093,0.0109,0.2309
     Christy,5.2619,0.4685,4.413,50.99,4.90E-03,8.68E-05,0.017,4.92E-03,8.72E-05,2.496E-03,4.4E-05,1,0,1.02326,0.0093,0.6621
     Christy,1.3435,0.9654,5.4942,12.989,4.06E+01,5.12E-01,0.017,4.05E+01,5.12E-01,6.003E-02,7.6E-04,1,0,1.05272,0.00785,2.1743
     Christy,2.2886,0.9239,5.494,17.96,2.87E+00,3.55E-02,0.017,2.87E+00,3.55E-02,1.989E-02,2.5E-04,1,0,1.04759,0.00739,2.6371
     Christy,2.7829,0.8955,5.4939,20.47,0.9824,0.0117,0.017,0.98244,0.0117,1.293E-02,1.6E-04,1,0,1.055,0.00708,0.1009
     Christy,3.2689,0.8627,5.494,22.97,0.377,0.00446,0.017,0.37709,0.00446,8.753E-03,1.0E-04,1,0,1.05018,0.00688,0.1269
     Christy,3.7392,0.826,5.494,25.47,0.1608,0.00228,0.017,0.16088,0.00228,6.214E-03,8.8E-05,1,0,1.04222,0.0079,0.2174
     Christy,4.1874,0.7864,5.494,27.97,0.07749,0.000982,0.017,0.077554,0.000983,4.743E-03,6.0E-05,1,0,1.04831,0.00721,2.4584
     Christy,5.0036,0.7022,5.494,32.97,0.02149,0.000311,0.017,0.021524,0.000312,2.919E-03,4.2E-05,1,0,1.03172,0.00801,1.8822
     Christy,5.3703,0.6593,5.494,35.48,0.01267,0.000233,0.017,0.012696,0.000234,2.441E-03,4.5E-05,1,0,1.03383,0.00996,4.4809
      GMp12L,1.5771,0.7009,2.222,42.001,1.449,0.0137,0.016,1.4524,0.0137,4.273E-02,4.0E-04,0.98239,0.0054,1.0541,0.00656,0.8683
      GMp12L,4.5434,0.8255,6.4269,24.25,0.0774,0.00116,0.016,0.077469,0.00116,3.813E-03,5.7E-05,0.98239,0.0054,1.03063,0.00877,0.0015
      GMp12L,5.9471,0.7087,6.4271,30.909,0.01108,0.000155,0.016,0.011103,0.000155,1.805E-03,2.5E-05,0.98239,0.0054,1.0046,0.00834,0.3083
      GMp12L,6.9929,0.5992,6.427,37.008,0.002898,4.06E-05,0.016,0.0029083,4.07E-05,1.113E-03,1.6E-05,0.98239,0.0054,0.97829,0.00826,0.0268
      GMp12L,7.9918,0.4775,6.427,44.5,0.0008192,1.23E-05,0.016,0.00082383,1.24E-05,7.289E-04,1.1E-05,0.98239,0.0054,0.94787,0.00837,1.0209
      GMp12L,9.0021,0.6478,8.518,30.909,0.001285,1.93E-05,0.016,0.0012885,1.93E-05,5.163E-04,7.8E-06,0.98239,0.0054,0.93424,0.00937,0.0129
      GMp12L,9.8073,0.5796,8.518,34.4,5.87E-04,8.81E-06,0.016,5.89E-04,8.84E-06,3.923E-04,5.9E-06,0.98239,0.0054,0.9161,0.00923,0.0151
      GMp12L,11.187,0.4482,8.518,42.001,1.54E-04,2.47E-06,0.016,1.55E-04,2.48E-06,2.565E-04,4.1E-06,0.98239,0.0054,0.88919,0.00909,0.0233
      GMp12R,1.8585,0.6155,2.222,48.666,0.5299,0.0101,0.02,0.53178,0.0101,2.983E-02,5.7E-04,1.00572,0.0108,1.05635,0.0119,0.0282
      GMp12R,9.0526,0.3322,6.427,55.9,0.0002054,4.52E-06,0.02,0.00020732,4.56E-06,4.859E-04,1.1E-05,1.00572,0.0108,0.92854,0.0117,0.1424
      GMp12R,12.069,0.3558,8.5179,48.666,6.14E-05,1.35E-06,0.02,6.19E-05,1.36E-06,1.933E-04,4.3E-06,1.00572,0.0108,0.86869,0.0115,0.3461
      GMp12R,12.568,0.301,8.5181,53.501,3.55E-05,1.14E-06,0.02,3.59E-05,1.15E-06,1.664E-04,5.3E-06,1.00572,0.0108,0.85322,0.0149,0.8292
      GMp12R,15.755,0.3088,10.5871,48.665,1.36E-05,3.67E-07,0.02,1.37E-05,3.71E-07,8.405E-05,2.3E-06,1.00572,0.0108,0.83191,0.0132,2.0085
        Kirk,0.999,0.9549,3.9962,15.439,65.9,1.2,0.04,64.732,1.18,9.351E-02,1.7E-03,1.02267,0.00756,1.02534,0.0109,0.1331
        Kirk,1.4987,0.9687,6.1974,12.149,33.06,0.59,0.04,32.422,0.579,4.830E-02,8.6E-04,1.02267,0.00756,1.0594,0.011,1.5689
        Kirk,1.9983,0.9524,6.1968,14.4,8.29,0.17,0.04,8.112,0.166,2.716E-02,5.6E-04,1.02267,0.00756,1.06655,0.0123,0.8703
        Kirk,2.5012,0.96,7.9091,12.59,4.755,0.076,0.04,4.6481,0.0743,1.620E-02,2.6E-04,1.02267,0.00756,1.0535,0.00994,0.3066
        Kirk,3.7592,0.9531,9.998,12.45,0.948,0.019,0.04,0.92422,0.0185,6.144E-03,1.2E-04,1.02267,0.00756,1.05,0.0117,0.1955
        Kirk,5.0752,0.9315,10.6999,13.99,0.1856,0.004,0.04,0.18052,0.00389,2.709E-03,5.8E-05,1.02267,0.00756,1.01755,0.0122,0.0453
        Kirk,6.275,0.911,11.3499,15.1,0.0546,0.0025,0.04,0.053018,0.00243,1.436E-03,6.6E-05,1.02267,0.00756,0.97662,0.0231,0.5673
        Kirk,7.5038,0.8891,11.9999,16.07,0.0195,6.00E-04,0.04,0.018909,5.82E-04,8.538E-04,2.6E-05,1.02267,0.00756,0.95539,0.0163,0.5042
        Kirk,8.7479,0.8674,12.6899,16.85,0.00713,4.20E-04,0.04,0.0069092,4.07E-04,4.829E-04,2.8E-05,1.02267,0.00756,0.88375,0.0271,4.7544
        Kirk,9.9841,0.8449,13.33,17.59,3.62E-03,1.40E-04,0.04,3.50E-03,1.35E-04,3.625E-04,1.4E-05,1.02267,0.00756,0.91703,0.0199,0.0415
        Kirk,12.507,0.8003,14.6604,18.8,8.49E-04,6.10E-05,0.04,8.20E-04,5.90E-05,1.661E-04,1.2E-05,1.02267,0.00756,0.8471,0.0322,0.4225
        Kirk,15.098,0.7579,16.0605,19.72,2.73E-04,2.80E-05,0.04,2.63E-04,2.70E-05,9.326E-05,9.6E-06,1.02267,0.00756,0.82534,0.044,0
        Kirk,19.991,0.6229,17.3104,24.04,3.13E-05,6.10E-06,0.04,3.02E-05,5.88E-06,3.707E-05,7.2E-06,1.02267,0.00756,0.77412,0.0765,0.0235
        Kirk,25.021,0.3816,17.3101,35.09,4.80E-06,2.10E-06,0.04,4.63E-06,2.03E-06,3.272E-05,1.4E-05,1.02267,0.00756,1.00726,0.221,1.2993
        Rock,2.4946,0.9745,9.7494,10.001,7.7,0.05,0.03,7.6987,0.05,1.583E-02,1.0E-04,1.06812,0.00588,1.05996,0.0058,0.2748
        Rock,3.9896,0.9684,12.571,10,1.117,0.011,0.03,1.1168,0.011,4.921E-03,4.9E-05,1.06812,0.00588,1.03302,0.00668,2.7529
        Rock,5.9961,0.9603,15.7362,10,0.1795,0.0024,0.03,0.17947,0.0024,1.623E-03,2.2E-05,1.06812,0.00588,0.99879,0.00866,0.0145
        Rock,7.9883,0.9524,18.4822,10,0.0448,0.001,0.03,0.044793,0.001,6.940E-04,1.6E-05,1.06812,0.00588,0.95647,0.0131,0.0162
        Rock,10.004,0.9445,21.006,10,0.0145,0.0005,0.03,0.014498,0.0005,3.488E-04,1.2E-05,1.06812,0.00588,0.92042,0.0186,0.2159
        Sill,2.8617,0.8892,5.4639,21.01,0.802,0.0304,0.036,0.80206,0.0304,1.180E-02,4.5E-04,1.01517,0.0133,1.04938,0.0213,0.1277
        Sill,3.6214,0.8337,5.4641,25.01,0.193,0.00806,0.036,0.19309,0.00807,6.705E-03,2.8E-04,1.01517,0.0133,1.04878,0.0231,0.0033
        Sill,5.0266,0.8569,7.632,21.01,0.0693,0.00252,0.036,0.069322,0.00252,2.854E-03,1.0E-04,1.01517,0.0133,1.02966,0.0202,0.2165
        Sill,4.9906,0.8079,6.657,25.01,0.0455,0.00179,0.036,0.045531,0.00179,2.919E-03,1.2E-04,1.01517,0.0133,1.03324,0.0217,0.3197
        Sill,5.0166,0.7014,5.499,33.01,0.0204,0.000762,0.036,0.020433,0.000763,2.795E-03,1.0E-04,1.01517,0.0133,1.02062,0.0204,0.0007
        Sill,7.3004,0.8255,9.6061,21.01,0.0109,0.000447,0.036,0.010906,0.000447,9.461E-04,3.9E-05,1.01517,0.0133,0.9669,0.0215,0.0293
        Sill,9.624,0.7957,11.45,21.01,0.00251,0.000108,0.036,0.0025119,0.000108,3.907E-04,1.7E-05,1.01517,0.0133,0.90274,0.0216,0.8629
        Sill,11.985,0.7676,13.2102,21.01,0.000808,3.58E-05,0.036,0.00080878,3.58E-05,2.036E-04,9.0E-06,1.01517,0.0133,0.88138,0.0224,0.0818
        Sill,15.719,0.7269,15.8399,21.01,0.000179,1.08E-05,0.036,0.00017923,1.08E-05,8.358E-05,5.1E-06,1.01517,0.0133,0.82409,0.0281,0.096
        Sill,19.48,0.6901,18.3604,21.01,4.67E-05,3.62E-06,0.036,4.68E-05,3.63E-06,3.606E-05,2.8E-06,1.01517,0.0133,0.73212,0.0315,1.6987
        Sill,23.238,0.6568,20.7898,21.01,1.82E-05,1.66E-06,0.036,1.82E-05,1.66E-06,2.145E-05,2.0E-06,1.01517,0.0133,0.72506,0.0364,0.0159
        Sill,26.993,0.5398,21.1804,25.01,4.51E-06,5.25E-07,0.036,4.53E-06,5.27E-07,1.317E-05,1.5E-06,1.01517,0.0133,0.70531,0.0436,0.0405
        Sill,31.205,0.3661,21.1903,33.01,8.60E-07,1.53E-07,0.036,8.66E-07,1.54E-07,8.915E-06,1.6E-06,1.01517,0.0133,0.71894,0.0651,0.6128
      Walker,1,0.6918,1.594,45.221,5.267,0.0497,0.019,5.2744,0.0498,8.845E-02,8.3E-04,1.00839,0.00316,1.03087,0.00603,0.183
      Walker,0.9996,0.8687,2.403,27.277,17.8,0.185,0.019,17.805,0.185,9.303E-02,9.7E-04,1.00839,0.00316,1.02886,0.00673,0.0003
      Walker,1.0001,0.9298,3.2381,19.453,39.51,0.393,0.019,39.511,0.393,9.579E-02,9.5E-04,1.00839,0.00316,1.03518,0.00671,1.5293
      Walker,2.003,0.6345,2.408,46.389,0.4436,0.00464,0.019,0.44476,0.00466,2.533E-02,2.7E-04,1.00839,0.00316,1.05089,0.00634,0.9887
      Walker,2.0023,0.7348,2.8,37.47,0.7797,0.00703,0.019,0.78101,0.00704,2.611E-02,2.4E-04,1.00839,0.00316,1.05804,0.00591,0.1267
      Walker,2.0025,0.8076,3.25,30.81,1.288,0.0102,0.019,1.2894,0.0102,2.655E-02,2.1E-04,1.00839,0.00316,1.06113,0.00561,1.305
      Walker,2.0025,0.8775,4.003,23.822,2.421,0.0262,0.019,2.4223,0.0262,2.664E-02,2.9E-04,1.00839,0.00316,1.05717,0.00695,0.0209
      Walker,2.0022,0.938,5.4892,16.512,5.746,0.14,0.019,5.7463,0.14,2.649E-02,6.4E-04,1.00839,0.00316,1.0492,0.0134,0.3153
      Walker,2.4968,0.6195,2.796,45.947,0.1894,0.00197,0.019,0.18998,0.00197,1.584E-02,1.7E-04,1.00839,0.00316,1.05381,0.0062,0.6324
      Walker,2.4968,0.723,3.241,37.024,0.3369,0.00332,0.019,0.3376,0.00333,1.621E-02,1.6E-04,1.00839,0.00316,1.05905,0.00615,0.029
      Walker,2.4969,0.8002,3.766,30.245,0.5629,0.00453,0.019,0.56358,0.00453,1.621E-02,1.3E-04,1.00839,0.00316,1.05424,0.00547,0.8545
      Walker,2.4975,0.846,4.242,25.989,0.8293,0.00876,0.019,0.83003,0.00876,1.635E-02,1.7E-04,1.00839,0.00316,1.05612,0.00664,0.1335
      Walker,3.0061,0.6233,3.251,43.976,0.09664,0.00105,0.019,0.096956,0.00106,1.029E-02,1.1E-04,1.00839,0.00316,1.04772,0.00635,1.7433
      Walker,3.0063,0.7614,4.008,32.422,0.2194,0.00216,0.019,0.21979,0.00217,1.055E-02,1.0E-04,1.00839,0.00316,1.05378,0.00608,0.079
      Walker,3.0065,0.9102,6.2462,18.526,0.9085,0.0236,0.019,0.90873,0.0236,1.070E-02,2.8E-04,1.00839,0.00316,1.05368,0.0142,0.013
      Walker,3.0064,0.9316,7.0741,16.02,1.315,0.0153,0.019,1.3151,0.0153,1.090E-02,1.3E-04,1.00839,0.00316,1.06227,0.00719,1.2877
